team_id,position,goals_actual,assists_actual,yellow_cards_actual,red_cards_actual,minutes_actual,starting_eleven_actual,substituted_in_actual,on_bench_actual,suspended_actual,injured_actual,absence_actual,number_of_matches_actual,minutes_predicted,yellow_cards_predicted,red_cards_predicted,starting_eleven_predicted,substituted_in_predicted,on_bench_predicted,suspended_predicted,injured_predicted,absence_predicted,number_of_matches_predicted,goals_predicted,assists_predicted,minutes_error,yellow_cards_error,red_cards_error,goals_error,assists_error,starting_eleven_error,substituted_in_error,on_bench_error,suspended_error,injured_error,absence_error,number_of_matches_error
3262,Attack,2.0,1.0,0.0,0.0,473.0,2.0,13.0,15.0,0.0,0.0,0.0,5,1270,2,0,13,7,9,0,0,0,5,4.0,3.0,-797.0,-2.0,0.0,-2.0,-2.0,-11.0,6.0,6.0,0.0,0.0,0.0,0
3262,Defense,0.0,3.0,7.0,0.0,1432.0,15.0,6.0,18.0,1.0,0.0,0.0,5,1792,4,0,19,5,13,0,0,0,5,2.0,3.0,-360.0,3.0,0.0,-2.0,0.0,-4.0,1.0,5.0,1.0,0.0,0.0,0
3262,Goalkeeper,,,0.0,0.0,480.0,5.0,0.0,10.0,0.0,0.0,0.0,5,407,0,0,4,0,9,0,0,0,5,,,73.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0
3262,Midfield,9.0,5.0,4.0,0.0,2895.0,33.0,7.0,5.0,0.0,0.0,0.0,5,1895,3,0,20,8,14,0,1,0,5,3.0,3.0,1000.0,1.0,0.0,6.0,2.0,13.0,-1.0,-9.0,0.0,-1.0,0.0,0
3380,Attack,0.0,0.0,0.0,0.0,235.0,3.0,4.0,8.0,0.0,0.0,0.0,3,791,2,0,8,6,6,0,0,0,5,2.0,1.0,-556.0,-2.0,0.0,-2.0,-1.0,-5.0,-2.0,2.0,0.0,0.0,0.0,-2
3380,Defense,0.0,1.0,2.0,1.0,1341.0,15.0,3.0,9.0,2.0,1.0,0.0,3,1552,3,0,17,2,11,0,1,0,5,1.0,1.0,-211.0,-1.0,1.0,-1.0,0.0,-2.0,1.0,-2.0,2.0,0.0,0.0,-2
3380,Goalkeeper,,,0.0,0.0,270.0,3.0,0.0,3.0,0.0,0.0,0.0,3,322,0,0,3,0,7,0,0,0,5,,,-52.0,0.0,0.0,,,0.0,0.0,-4.0,0.0,0.0,0.0,-2
3380,Midfield,1.0,1.0,3.0,0.0,1080.0,12.0,7.0,5.0,0.0,0.0,0.0,3,1731,3,0,19,7,13,0,0,0,5,2.0,2.0,-651.0,0.0,0.0,-1.0,-1.0,-7.0,0.0,-8.0,0.0,0.0,0.0,-2
3468,Attack,2.0,1.0,2.0,0.0,567.0,6.0,5.0,1.0,0.0,0.0,0.0,3,693,2,0,7,5,5,0,0,0,4,2.0,1.0,-126.0,0.0,0.0,0.0,0.0,-1.0,0.0,-4.0,0.0,0.0,0.0,-1
3468,Defense,0.0,0.0,3.0,0.0,1320.0,15.0,5.0,13.0,0.0,0.0,0.0,3,1427,3,0,16,3,10,0,0,0,4,1.0,1.0,-107.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,3.0,0.0,0.0,0.0,-1
